LocationID,office,leisure,transport,retail,sustenance,residence
CENCY177,0.915097913,1.649419519,0.646447524,1.223877575,-0.069878221,0.381892702
CENCY178,0.411647644,0.284808039,1.070828722,0.136302332,-0.27508322,-0.195367125
CENCY179,2.136495596,2.662993707,1.294172359,0.136560415,0.887838366,-0.195367125
CENCY181,0.999279316,1.275951001,0.867868462,-0.02649614,0.277301479,-0.195367125
CENCY182,0.865528339,1.028073733,0.597401887,-0.032629185,0.277301479,-0.195367125
CENCY183,0.740254186,1.793480611,1.539228219,0.57753807,0.154169825,-0.195367125
CENCY184,0.20178811,1.815590176,0.936108934,0.146668308,-0.080307883,-0.195367125
CENCY185,0.733496875,0.379086438,0.330407352,1.448149839,0.345584217,0.59935473
CENCY186,0.798054019,0.435030961,0.531434093,1.662043049,0.014623173,-0.195367125
CENCY187,0.450240544,1.804956061,0.884566698,0.484535686,0.018323802,-0.195367125
CENCY188,0.474674355,1.930975907,0.938600075,0.576268812,0.066458756,-0.195367125
CENCY189,1.016162723,2.839408089,1.126181622,1.971527008,0.162690264,0.381892702
CENCY190,-0.000818789,1.21349672,0.871359498,-0.008121056,-0.03454057,-0.195367125
CENCY191,0.853086626,0.837708825,0.468975144,1.325789055,0.093119798,-0.195367125
CENCY192,0.610809181,1.052670762,0.389588571,1.51339058,0.074103661,-0.195367125
CENCY193,0.763569123,1.130813301,1.456006087,0.033710677,0.036058686,-0.195367125
CENCY194,0.909563852,2.241880499,0.98766232,0.434877767,0.575462043,-0.195367125
CENCY195,-0.17223787,0.275781098,0.254505873,0.567318097,1.071796448,0.966273882
CENCY196,1.198286649,3.034527767,1.07343281,2.306241299,0.250826252,0.381892702
CENCY197,-0.26738317,0.215317721,0.500738436,-0.092241961,0.710869105,0.966273882
CENCY198,-0.11092807,0.181206578,0.716682123,-0.013322891,0.419909095,0.966273882
CENCY199,0.423804554,0.248934078,0.175351629,0.006088461,-0.051331898,-0.195367125
CENCY200,0.032984457,0.754081429,0.665614867,0.355204747,0.929816825,-0.195367125
CENCY201,-0.030831993,1.115834419,0.496009306,0.313855746,0.235374368,-0.195367125
CENCY206,0.63453679,1.041493616,0.789231748,0.045374504,0.209706271,-0.195367125
CENCY207,0.078864954,1.361097963,1.019761636,0.139259101,-0.023652491,-0.195367125
CENCY208,0.001581227,0.493396854,0.257719925,0.608258195,1.082697865,0.966273882
CENCY701,1.106561065,2.604740623,0.920306609,1.643957274,0.096367872,0.381892702
CENCY702,1.115890257,2.629246091,1.135166975,1.684534784,0.096367872,0.381892702
CSHCY005,-0.486606439,-0.789921147,-0.470418243,-0.2406893,-0.220172398,-0.195367125
CSHCY006,-0.477985873,-0.427591146,-0.229774361,-0.021666803,-0.104461435,-0.195367125
CSHCY007,-0.477985873,-0.271195717,-0.273508204,0.185161424,0.089803749,-0.195367125
CSHCY008,-0.477985873,0.091527889,0.044967191,0.374159893,-0.131333967,-0.195367125
CSHCY009,-0.466364806,-0.196086515,-0.057055084,-0.379118225,-0.286023035,-0.195367125
CSHCY010,-0.229057245,-0.382182937,-0.153579712,-0.427304779,-0.161097629,-0.195367125
CSHCY011,1.123296968,0.908144223,0.401092913,0.645227824,0.220637671,-0.195367125
CSHCY013,-0.265553338,-0.702696009,-0.285389685,-0.359302752,0.043548036,-0.195367125
CSHCY014,-0.182978838,-0.70239418,-0.27316083,-0.489750003,-0.286023035,-0.195367125
CSHCY015,0.009995668,-0.267828751,-0.18949122,-0.189255177,-0.053964703,-0.195367125
CSHCY016,0.112959405,-0.040558242,-0.169088336,-0.118684851,-0.237907281,-0.195367125
CSHCY017,0.975070429,1.806692606,0.356594709,0.026105367,0.595577904,-0.195367125
CSHCY018,0.065228348,-0.539798747,-0.317400319,0.010510039,0.080048892,-0.195367125
CSHCY024,-0.237101426,-0.568719485,-0.245906901,-0.084870249,0.661951089,-0.195367125
CSHCY025,-0.161900118,-0.456316549,-0.353609393,-0.314824972,0.05358208,-0.195367125
CSHCY026,0.428948342,0.178358717,0.207680982,0.288157223,0.246700704,-0.195367125
CSHCY027,0.103701707,0.078281004,0.205378303,0.254206876,0.216917843,-0.195367125
CSHCY028,-0.201556377,-0.826771247,-0.12489111,-0.631826349,-0.113020273,-0.195367125
CSHCY029,-0.266752906,-0.710083103,-0.289765413,-0.584525768,-0.053385892,-0.195367125
CSHCY030,0.265510025,0.302622205,0.081529454,-0.065168682,0.201081422,-0.195367125
CSHCY031,0.542976121,1.248204377,0.179307832,-0.048456727,0.311818682,-0.195367125
CSHCY039,-0.398355749,-0.488409035,-0.391683185,-0.428413859,-0.083816223,-0.195367125
CSHCY040,-0.451887968,-0.866089412,-0.479263975,-0.835415208,-0.170312073,-0.195367125
CSHCY041,-0.438839015,-0.664214752,-0.354657944,-0.647040402,0.22871397,-0.195367125
CSHCY042,-0.362681809,-0.398944521,-0.293283948,-0.252158864,0.275027558,-0.195367125
CSHCY043,-0.358017213,0.136002873,-0.075055555,0.020637868,-0.170929282,-0.195367125
CSHCY047,-0.46493692,-0.713193003,-0.49190225,-0.602269994,-0.112962676,0.59935473
CSHCY048,-0.145445356,-0.67243411,-0.200907213,-0.335930372,0.039885828,0.381892702
CSHCY049,-0.186870975,-0.633218204,-0.235251492,-0.39960598,0.251789901,0.381892702
