LocationID,Count,ProgID,SurveyDescription,Easting,Northing,Location,Borough,Functional cycling area,Latitude,Longitude,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count
CSHCY028,4760,CSHCY,Cycle Superhighway cycle surveys,536280,180807,Narrow Street,Tower Hamlets,Inner,51.50976466,-0.037615961,0,0,3,0,0,0,0,8,1,0,11,7,1,2,12,77,10,120,0,0,4,2,60,1,0,19,1,0,0,0,1,1,0,0,0,0,1,4,0,0,2,0,1,0,0,0,0,0,0,0
CSHCY029,5157,CSHCY,Cycle Superhighway cycle surveys,535265,180902,Cable Street (east),Tower Hamlets,Inner,51.51086202,-0.052196439,0,1,0,0,0,0,2,10,0,0,13,18,1,5,12,106,6,128,0,1,2,0,64,1,0,20,0,0,0,2,1,6,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0
CSHCY030,4162,CSHCY,Cycle Superhighway cycle surveys,534385,180905,Cable Street (west),Tower Hamlets,Inner,51.51109877,-0.064868471,1,1,8,0,0,0,6,20,1,0,82,68,18,24,41,210,10,164,0,3,4,1,81,0,0,37,3,0,0,4,1,12,0,0,2,0,5,6,0,0,0,0,9,0,0,0,0,0,0,0
CSHCY031,5822,CSHCY,Cycle Superhighway cycle surveys,533967,180817,Royal Mint Street,Tower Hamlets,Inner,51.51040714,-0.070921692,2,0,18,1,0,2,8,15,1,0,153,101,43,40,81,221,9,159,0,3,5,2,80,0,0,27,3,0,2,3,0,23,0,0,2,0,8,3,0,0,0,0,16,0,0,0,0,0,0,0
CSHCY038,2373,CSHCY,Cycle Superhighway cycle surveys,537780,177684,Creek Road,Greenwich,Inner,51.48133771,-0.017233246,0,0,2,0,0,0,4,11,0,0,37,41,8,15,15,123,2,107,0,2,1,2,54,7,0,19,2,0,0,4,1,10,0,2,0,0,0,1,0,0,2,0,6,0,0,0,0,0,0,0
CSHCY039,2465,CSHCY,Cycle Superhighway cycle surveys,537041,177731,Evelyn Street South,Lewisham,Inner,51.48193942,-0.027850506,0,0,3,0,0,0,2,4,0,0,19,29,7,12,11,134,0,97,0,1,2,1,54,0,0,17,2,0,0,1,3,2,0,1,0,0,0,2,0,0,3,0,7,0,0,0,0,0,0,0
CSHCY040,2112,CSHCY,Cycle Superhighway cycle surveys,536087,178542,Evelyn Street North,Lewisham,Inner,51.48945738,-0.0412682,0,0,2,0,0,0,0,5,0,0,8,6,1,3,4,81,2,96,0,0,0,1,54,0,0,8,0,0,0,0,0,4,0,0,0,0,1,3,0,0,1,0,3,0,0,0,0,0,0,0
CSHCY041,3168,CSHCY,Cycle Superhighway cycle surveys,535366,179203,Lower Road,Southwark,Inner,51.49557021,-0.051393338,0,0,3,0,0,0,0,6,0,0,11,15,4,7,11,121,6,122,0,1,3,0,63,0,0,13,2,0,0,2,0,4,0,0,0,0,1,0,0,1,4,0,5,0,0,0,0,0,0,0
CSHCY042,5476,CSHCY,Cycle Superhighway cycle surveys,534441,179458,Jamaica Road,Southwark,Inner,51.49808225,-0.064613045,0,0,2,0,0,0,1,12,0,0,21,22,9,16,11,176,1,134,0,2,2,0,67,0,0,19,6,0,0,4,2,0,0,0,0,0,0,4,0,1,3,0,2,0,0,0,0,0,0,0
CSHCY043,6663,CSHCY,Cycle Superhighway cycle surveys,533828,179685,Jamaica Road (west),Southwark,Inner,51.50026748,-0.073352616,0,0,5,0,0,0,1,11,0,0,80,39,19,21,33,235,1,138,0,1,3,2,68,0,0,29,8,0,1,6,1,3,0,0,0,0,0,3,0,0,1,0,5,0,0,0,0,0,0,0
