LocationID,office,sustenance,transport,retail,leisure,residence
Marble Arch,0.81239192,0.37452482,0.402522899,1.408446536,0.21592498,0.810867023
Maryland,0.08887178,-0.167202505,0.099798421,0.616226266,0.117315501,-0.174931006
Mile End,-0.037801166,-0.600466675,-0.192098086,-0.494044678,-0.019983771,-0.174931006
Moorgate,2.073736061,2.554821983,1.310979422,0.369451668,1.124122746,-0.174931006
Mornington Crescent,-0.311470996,0.302175809,0.435716949,0.138017999,-0.117067004,0.675368591
Mudchute,-0.226431579,-0.667456037,-0.350509717,-0.526484022,-0.21071469,-0.174931006
New Cross,-0.45977561,-0.329654328,-0.319419338,-0.478914465,-0.140049916,0.810867023
New Cross Gate,-0.464219728,-0.532935892,-0.461362926,-0.632727214,-0.318347333,0.810867023
Notting Hill Gate,0.174664248,0.138330536,-0.09236704,1.043335434,-0.039721687,0.250218793
Old Street,1.710892534,1.082083522,0.679994353,0.580699509,0.639947901,-0.174931006
Oval,-0.237475481,-0.166969107,0.280155953,-0.289885798,0.603599406,-0.174931006
Oxford Circus,1.413273269,2.72046212,1.131034629,2.436199648,0.147078092,0.250218793
Parsons Green,-0.442795178,-0.187083767,-0.223628626,-0.02375562,-0.058416582,0.250218793
Peckham Rye,-0.270053745,-0.509906945,0.010354174,-0.336986496,0.151044516,0.250218793
Piccadilly Circus,1.026000643,2.93868467,1.235820247,1.875828012,0.122634736,0.250218793
Pimlico,-0.119575381,0.11869706,0.890695248,-0.039553381,0.44350073,-0.174931006
Plaistow,-0.388184263,-0.78230914,-0.445205631,-0.502400557,-0.271121106,-0.174931006
Pontoon Dock,-0.352058469,-0.718158312,-0.432045617,-0.82102711,0.263750995,-0.174931006
Poplar,0.698976423,0.242183735,0.235107588,0.258201973,0.316914227,-0.174931006
Prince Regent,-0.333900097,-0.70335992,-0.588539225,-0.739457675,-0.109306955,-0.174931006
Pudding Mill Lane,0.09721418,-0.638994599,-0.414114017,-0.636765281,0.15428337,-0.174931006
Putney Bridge,-0.397399247,-0.527298116,-0.227827531,-0.630986195,-0.277255847,0.250218793
Queens Road Peckham,-0.187207587,-0.649244269,-0.021478917,-0.297616186,0.040076687,0.250218793
Queensway,0.158021259,0.096337899,-0.103789209,0.695650002,-0.130521933,0.250218793
Ravenscourt Park,0.516693532,-0.122388842,-0.018768514,-0.204285644,0.048063386,1.711638588
Rectory Road,-0.482187149,0.020122843,0.025515162,0.354465722,-0.220591804,-0.174931006
Rotherhithe,-0.377871983,-0.648752163,-0.251460001,-0.590099213,0.269979739,-0.174931006
Royal Albert,-0.509424708,-0.851172256,-0.70038402,-0.768061954,-0.22389488,-0.174931006
Royal Oak,0.376019461,0.204233585,0.052549077,0.670113742,0.006437838,0.250218793
Royal Victoria,-0.282445443,-0.608926598,-0.365320768,-0.63558444,0.043097656,-0.174931006
Russell Square,0.276410686,1.994151322,1.324593736,0.245921527,0.149166883,-0.174931006
Seven Sisters,-0.482187149,-0.591320752,-0.41740181,0.125266378,0.081423964,-0.174931006
Shoreditch High Street,1.311694489,1.507539758,0.726160088,0.523739853,0.411240468,-0.174931006
Sloane Square,0.337280476,0.159472564,1.501198362,0.467618264,-0.305167143,-0.174931006
South Hampstead,-0.341555238,-0.644392012,-0.268750629,-0.233029535,0.010028816,-0.174931006
South Kensington,0.012151125,0.4000828,0.101581442,0.830694334,-0.291986953,-0.174931006
South Quay,0.574642565,0.072175196,-0.040121834,0.067234642,-0.099778972,-0.174931006
South Tottenham,-0.482187149,-0.654368047,-0.439655809,-0.191120592,0.081423964,-0.174931006
Southfields,-0.509424708,-0.91209122,-0.732289789,-0.732549635,-0.475442576,-0.174931006
Southwark,0.211871605,0.84027269,1.440518944,0.28236921,1.159148972,-0.174931006
