LocationID,office,leisure,transport,retail,sustenance,residence
3184,-0.175929917,-0.526161778,-0.013749651,-0.265876846,-0.106912464,-0.160553138
3185,-0.221745063,-0.58527209,-0.046016796,-0.391363678,-0.106912464,-0.160553138
3186,-0.262884805,-0.584094803,0.047264453,-0.27766327,0.223823582,-0.160553138
319,-0.390075069,0.086116229,0.21402858,-0.39516326,-0.145686565,-0.160553138
3191,0.012001302,0.579215752,0.039526528,0.742297942,-0.251020688,-0.160553138
3192,0.012001302,0.585144813,0.048341992,0.810155612,-0.251020688,-0.160553138
3197,0.369995338,-0.238214425,-0.469277134,0.267591724,-0.09627085,-0.160553138
3198,0.369995338,-0.209409879,-0.468068157,0.392015103,-0.09627085,-0.160553138
32,0.595855698,0.659578131,1.276702508,0.388134258,-0.223562309,-0.160553138
320,-0.400360005,0.028835719,0.173676801,-0.38236799,-0.167966895,-0.160553138
3200,0.725067382,0.326970279,0.414586673,0.099105498,0.014846098,-0.160553138
3201,0.714782447,0.328957588,0.374509821,0.108281864,0.037126429,-0.160553138
3217,-0.438662834,-0.68839867,-0.418042473,-0.631304432,-0.358529832,-0.160553138
3218,-0.438662834,-0.666120572,-0.366614783,-0.631304432,-0.358529832,-0.160553138
3234,0.456079614,0.132343527,0.177682865,0.386703888,0.251863452,0.667209288
3235,0.445794678,0.114014391,0.177682865,0.386703888,0.229583122,0.667209288
3237,0.282215276,0.390195807,0.055971773,0.701930424,-0.014541405,1.212359267
3238,0.208382236,0.246636038,-0.04031659,0.858794824,0.057547779,0.384596842
3239,0.280376784,0.304332956,-0.045065853,0.981209686,0.079828109,0.384596842
324,-0.315307902,0.054202114,0.363677878,-0.216069251,-0.290368228,0.929746822
3243,0.03049664,-0.021748982,-0.095471584,0.797799424,0.436704469,-0.160553138
3246,-0.333974988,-0.026487074,-0.381459921,-0.447241956,-0.226169276,0.667209288
3247,-0.333974988,-0.09405062,-0.383337241,-0.409080425,-0.226169276,0.667209288
3249,0.801850403,0.39996855,0.432593095,1.183508219,0.185162233,1.212359267
325,-0.325592838,0.059179341,0.402266201,-0.216069251,-0.241237217,0.929746822
3251,0.842990145,0.476144133,0.55449129,1.211037316,0.162239132,1.212359267
