ID,LocationID,Easting,Northing,latitude,longitude,Zone,Postcode,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count
38,Beckenham Hill,538002,171379,51.42462603,-0.016495762,4,SE6 3NU,0,0,0,0,0,0,0,1,0,0,5,2,1,1,8,20,0,48,0,0,0,0,47,3,0,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
39,Beckenham Junction,537403,169840,51.4109416,-0.025701739,4,BR3 1HY,0,0,0,0,0,0,0,1,0,0,20,9,4,9,5,37,0,60,0,0,1,0,60,3,2,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Beckenham Road,536177,169650,51.40952968,-0.043391922,"3,4,5,6",BR3 4RR,0,0,0,0,0,0,0,3,0,0,9,8,0,4,10,30,0,54,0,0,1,0,54,0,2,6,3,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Beckton,543145,181509,51.51437673,0.061525297,3,E6 5NT,0,0,0,0,0,0,0,1,0,0,2,3,2,1,5,22,2,54,0,0,0,0,41,0,0,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
42,Beckton Park,542697,180887,51.50890089,0.054821939,3,E6 5NE,0,0,0,0,0,0,0,1,0,0,6,5,3,1,6,23,0,73,0,0,0,0,51,0,0,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
43,Becontree,547598,184442,51.53958562,0.126880293,5,RM9 4TP,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,15,1,28,0,0,0,0,25,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,Beddington Lane,529367,167215,51.38923965,-0.142138433,"3,4,5,6",CR0 4TF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,20,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Belgrave Walk,526805,168455,51.40096136,-0.178496472,"3,4,5,6",CR4 4NY,0,0,1,0,0,0,0,0,0,0,3,4,0,3,4,50,0,48,0,0,0,0,48,0,6,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Bellingham,537702,172399,51.43386486,-0.02041177,3,SE6 3BT,0,0,0,0,0,0,0,1,0,0,4,1,0,2,15,17,0,53,0,0,0,0,46,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
47,Belmont,525500,162098,51.3441196,-0.199489251,5,SM2 6BH,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,8,0,36,0,0,1,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Belsize Park,527399,185075,51.55019061,-0.163974491,2,NW3 2AL,0,0,0,0,0,0,1,6,0,0,19,12,1,5,6,148,2,72,0,1,2,0,72,0,0,9,4,0,0,1,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
49,Belvedere,549498,179197,51.49195925,0.152033793,5,DA17 6JW,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,0,46,0,0,0,0,42,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
50,Bermondsey,534461,179445,51.49796068,-0.06433009,2,SE16 4RX,0,0,2,0,0,0,1,12,0,0,20,21,9,16,10,179,1,135,0,2,2,0,68,0,0,18,6,0,0,4,2,0,0,0,0,0,0,4,0,1,3,0,2,0,0,0,0,0,0,0
51,Berrylands,519728,168040,51.39876795,-0.280321473,5,KT5 8LT,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,15,0,31,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,Bethnal Green,534995,182712,51.52719165,-0.055392111,2,E2 0ET,1,0,13,0,0,0,0,4,0,0,27,27,6,9,22,239,7,126,0,0,1,0,64,0,0,31,1,0,0,4,2,7,1,0,0,0,3,2,0,0,2,0,3,0,0,0,0,0,0,0
53,Bethnal Green Rail,534683,182380,51.52428264,-0.060013742,2,E2 6JL,1,0,2,0,0,0,1,6,0,0,42,57,7,12,30,253,7,119,0,1,1,0,60,0,0,35,1,0,0,5,2,14,1,0,0,0,1,2,0,0,3,0,2,0,0,0,0,0,0,0
54,Bexley,549399,173502,51.44081478,0.148203914,6,DA5 1AQ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,36,0,0,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55,Bexleyheath,548294,176000,51.46355018,0.133362966,5,DA7 4AA,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,20,0,52,0,1,1,0,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
56,Bickley,542304,168799,51.40037964,0.044304032,5,BR1 2EB,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,5,0,38,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
57,Birkbeck,535297,168996,51.403863,-0.056286236,4,BR3 4TA,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,13,0,47,0,0,0,0,47,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Blackfriars,531738,180890,51.51158676,-0.102995385,1,EC4V 4DD,0,1,66,5,1,3,12,1,1,0,113,76,40,31,48,383,39,203,0,6,14,2,104,0,0,15,1,1,0,4,0,9,1,2,1,0,3,2,0,0,1,0,14,0,0,0,0,0,0,0
59,Blackheath,539604,175961,51.46540803,0.008336595,3,SE3 9LE,0,0,0,0,0,0,1,10,0,0,19,13,3,4,8,24,0,54,0,0,1,0,37,0,0,10,0,0,0,1,1,10,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
60,Blackhorse Lane,534362,166844,51.38474607,-0.070533948,"3,4,5,6",CR0 6NL,0,0,0,0,0,0,1,2,0,0,2,5,0,4,15,20,0,46,0,0,0,0,45,0,3,2,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,Blackhorse Road,535914,189256,51.58577656,-0.039625711,3,E17 6JJ,0,0,0,0,0,0,0,3,0,0,7,7,3,2,4,101,0,54,0,0,1,0,54,3,0,9,1,0,0,3,1,3,0,3,1,0,0,2,0,0,1,0,3,0,0,0,0,0,6,0
62,Blackwall,538394,180649,51.50783153,-0.007235166,2,E14 9QB,0,0,4,1,0,3,3,3,0,0,69,31,9,6,72,154,4,136,0,3,2,0,70,0,0,24,7,0,1,5,2,12,1,1,2,0,0,2,0,0,2,0,10,1,0,0,0,0,0,0
63,Bond Street,528497,181053,51.51379728,-0.149613609,1,W1C 2HU,0,5,67,0,0,3,5,38,0,0,272,116,37,16,70,405,24,162,0,3,20,0,81,0,0,17,8,0,3,8,1,274,8,19,2,0,0,0,0,0,2,0,10,2,0,0,0,0,0,0
64,Borough,532379,179734,51.50104872,-0.094197323,1,SE1 1JX,1,0,12,2,0,1,2,8,0,0,120,71,22,26,66,456,15,189,0,5,11,2,98,0,0,40,6,0,2,8,2,5,0,3,1,4,3,2,0,0,10,0,11,0,0,0,0,0,0,0
65,Boston Manor,516391,178755,51.49576501,-0.324747183,4,TW8 9LQ,0,0,0,0,0,0,0,12,1,0,13,7,0,4,4,61,3,27,0,1,0,0,27,0,0,6,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
66,Bounds Green,529996,191466,51.60703172,-0.124177065,"3,4",N11 2EU,0,0,2,0,0,0,0,10,0,0,13,11,0,3,10,25,2,42,0,1,0,0,41,1,0,19,2,0,0,3,1,1,1,0,1,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0
67,Bow Church,537414,182824,51.52761517,-0.020499899,2,E3 3AA,2,0,2,0,0,1,1,4,0,0,4,15,2,3,13,108,3,110,0,1,1,0,55,0,0,20,2,0,0,3,1,2,0,1,0,0,0,5,0,1,5,0,4,0,0,0,0,0,0,0
68,Bow Road,537148,182753,51.52704177,-0.024359591,2,E3 4DH,2,0,1,0,0,0,2,3,0,0,4,17,1,3,15,108,3,149,0,2,2,0,74,0,0,18,2,0,0,3,1,2,0,2,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0
69,Bowes Park,530299,191498,51.60724932,-0.119792218,"3,4",N22 8NL,0,0,2,0,0,0,0,14,0,0,15,15,1,3,15,25,2,54,0,1,0,0,50,1,0,25,2,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
70,Brent Cross,523905,187927,51.57659887,-0.213335838,3,NW11 9UA,0,0,0,0,0,0,0,0,0,0,10,2,0,0,7,13,0,75,0,0,0,0,53,2,0,2,2,0,4,1,1,19,0,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0
71,Brentford,517462,177864,51.4875358,-0.309622531,4,TW8 9LF,0,0,0,0,0,1,1,4,0,1,8,6,0,10,5,58,0,67,0,0,1,0,57,0,0,6,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,1,0
72,Brentwood,559321,193036,51.61361083,0.299672821,7,CM14 4EW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Brimsdown,536297,196997,51.65524457,-0.031092277,5,EN3 7NA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Brixton,531076,175437,51.46273662,-0.114552097,2,SW9 8HE,0,0,4,0,0,0,4,7,0,0,31,29,9,11,40,306,2,131,0,1,1,0,85,0,0,25,1,0,0,5,3,4,5,1,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0
75,Brockley,536405,175801,51.4647496,-0.03774825,2,SE4 2RW,0,0,0,0,0,0,0,1,0,0,5,6,0,4,8,56,0,68,0,0,2,0,68,0,0,5,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
76,Bromley North,540395,169699,51.40894234,0.017235452,4,BR1 3NN,0,0,0,0,0,0,0,1,0,0,26,10,0,15,16,29,0,58,0,0,6,0,54,0,0,4,1,0,0,2,0,18,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
77,Bromley South,540431,168705,51.40000132,0.01735958,5,BR1 1LX,0,0,0,0,0,0,0,2,0,0,27,10,0,12,16,30,0,66,0,0,5,0,62,0,0,4,1,0,0,2,0,18,0,3,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
78,Bromley-by-Bow,538034,182532,51.52484018,-0.011682374,"2,3",E3 3BT,1,0,2,0,0,1,1,2,0,0,2,10,2,1,12,81,2,95,0,1,1,0,48,0,0,17,1,0,0,3,1,1,0,1,0,0,0,5,0,0,5,0,4,0,1,0,0,0,0,0
79,Brondesbury,524718,184460,51.54526203,-0.202838483,2,NW6 7QL,0,0,1,0,0,0,1,3,0,0,11,9,1,2,5,135,2,75,0,0,4,0,59,0,0,4,5,0,1,0,0,0,0,1,1,0,0,3,0,0,0,0,2,0,1,0,0,0,0,0
80,Brondesbury Park,524202,183898,51.54032502,-0.210473944,2,NW6 6RP,0,0,1,0,0,0,1,4,0,0,8,9,1,0,3,135,1,56,0,0,2,0,48,0,0,6,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
81,Broxbourne,537407,207240,51.74701555,-0.011024084,9,EN10 7AW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Bruce Grove,533758,190115,51.59401113,-0.070398989,3,N17 8AD,1,0,0,0,0,1,0,1,0,0,4,15,0,10,18,99,0,88,0,1,0,0,77,0,0,25,3,0,0,0,0,3,0,0,3,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0
83,Buckhurst Hill,541768,193957,51.62657674,0.046712541,5,IG9 5ET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Burnham,494007,181378,51.52350399,-0.646388208,,SL1 6JT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Burnt Oak,520303,190728,51.60255148,-0.264330708,4,HA8 0LA,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,17,0,54,0,0,0,0,54,0,0,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
86,Bush Hill Park,533696,195396,51.64148185,-0.069280412,5,EN1 1BA,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,22,0,64,0,0,2,0,64,0,0,4,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Bushey,511860,195318,51.64554353,-0.384721533,8,WD19 4ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Caledonian Road,530568,184899,51.54788525,-0.118360861,2,N7 9BA,0,0,0,0,0,0,2,1,0,0,31,39,4,14,21,220,2,119,0,0,1,0,73,0,0,27,7,0,0,3,1,4,0,5,0,0,1,2,0,0,1,0,4,0,0,0,0,0,0,0
89,Caledonian Road and Barnsbury,530800,184393,51.54328439,-0.115204856,2,N1 0SL,0,0,3,0,0,0,3,4,0,0,47,39,8,22,17,205,3,113,0,0,0,0,72,0,0,29,6,0,0,4,1,17,1,10,1,0,1,2,0,0,1,0,6,0,0,0,0,0,0,0
90,Cambridge Heath,534855,183250,51.53205967,-0.057203201,2,E2 7NA,1,0,13,0,0,1,0,2,0,0,26,37,8,6,17,339,4,126,0,0,0,0,69,0,0,29,1,0,0,8,3,8,1,1,0,0,2,1,0,0,5,0,4,0,0,0,0,0,0,0
91,Camden Road,529140,184191,51.54185101,-0.139203111,2,NW1 9LQ,0,0,4,0,0,0,2,1,0,0,38,19,12,14,17,288,6,144,0,3,5,2,87,0,0,11,3,0,0,6,1,22,0,2,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0
92,Camden Town,528920,183976,51.53996912,-0.14245238,2,NW1 8NH,0,0,3,0,0,0,2,7,0,0,37,21,13,15,17,277,6,133,0,3,4,2,84,0,0,13,3,0,0,6,1,22,0,3,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0
93,Canada Water,535399,179493,51.49816833,-0.050807121,2,SE16 7BB,0,0,2,0,0,0,0,13,0,0,14,18,3,8,10,114,6,126,0,1,3,0,63,0,0,13,2,0,0,2,1,4,0,0,0,0,2,2,0,1,4,0,4,0,0,0,0,0,0,0
