ID,LocationID,Easting,Northing,latitude,longitude,Zone,Postcode,office_government_count,office_association_count,office_company_count,office_consulting_count,office_financial_count,office_coworking_count,office_lawyer_count,office_estate_agent_count,office_insurance_count,office_telecommunication_count,amenity_restaurant_count,amenity_cafe_count,amenity_bar_count,amenity_pub_count,amenity_fast_food_count,amenity_bicycle_parking_count,railway_subway_entrance_count,public_transport_platform_count,amenity_bus_station_count,amenity_taxi_count,amenity_parking_count,amenity_ferry_terminal_count,highway_bus_stop_count,amenity_parking_space_count,railway_tram_stop_count,shop_convenience_count,shop_supermarket_count,shop_mall_count,shop_department_store_count,shop_bakery_count,shop_butcher_count,shop_clothes_count,shop_hardware_count,shop_furniture_count,shop_electronics_count,leisure_park_count,leisure_sports_centre_count,leisure_playground_count,leisure_stadium_count,leisure_swimming_pool_count,leisure_pitch_count,leisure_track_count,leisure_fitness_centre_count,leisure_garden_count,leisure_nature_reserve_count,building_residential_count,building_house_count,building_detached_count,building_apartments_count,building_bungalow_count,geometry,population_density
126,Chorleywood,502596,196092,51.65426508,-0.518333911,7,WD3 5ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (502596 196092),
136,Cockfosters,528087,196424,51.65202424,-0.14991671,5,EN4 0DZ,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,15,4,26,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (528087 196424),24.51568870325925
137,Colindale,521295,189937,51.59523011,-0.25028754,4,NW9 5HR,0,0,0,0,0,0,1,1,0,0,3,6,0,3,6,40,1,55,0,0,2,0,47,0,0,9,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,POINT (521295 189937),70.93376452774623
138,Colliers Wood,526831,170436,51.4187589,-0.177415098,3,SW19 2HR,0,0,0,0,0,0,1,2,0,0,23,9,0,6,2,80,1,47,0,0,3,0,43,0,0,14,2,0,2,0,0,3,0,0,1,0,1,0,0,0,2,0,4,1,1,0,0,0,1,0,POINT (526831 170436),94.08110780326624
149,Croxley,507921,195395,51.64700456,-0.441603787,7,WD3 3DY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (507921 195395),
150,Crystal Palace,534120,170557,51.41817024,-0.072607232,"3,4",SE19 2AZ,0,0,0,0,0,0,0,0,1,0,1,8,2,0,3,64,0,83,0,0,1,0,69,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,POINT (534120 170557),61.263696012634746
155,Dagenham East,550284,185033,51.54418761,0.165833433,5,RM10 8AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,29,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (550284 185033),49.144662130908785
156,Dagenham Heathway,549035,184665,51.54121204,0.147679721,5,RM9 5AN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,36,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (549035 184665),80.41747853127589
159,Debden,544275,196133,51.64549214,0.083801475,6,IG10 3TG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (544275 196133),
162,Deptford Bridge,537466,176912,51.47447674,-0.022052429,"2,3",SE10 8BU,0,0,1,0,0,0,3,5,0,0,23,31,10,15,12,132,0,112,0,2,3,0,72,14,0,19,2,0,0,1,2,1,0,2,0,0,0,1,0,0,3,0,9,0,0,0,1,0,0,0,POINT (537466 176912),111.18531893803647
