,office,sustenance,transport,retail,leisure,residence
314,0.029513944,0.011599198,-0.050967067,-0.10381797,-0.093061715,0.08042538
315,0.0837186,-0.010854669,-0.0021520555,0.022073746,-0.018160969,0.052713215
316,-0.039667346,-0.04963067,0.0050922036,-0.10401294,-0.008723021,0.057669163
317,0.048169285,-0.020690382,-0.052422732,-0.16230163,-0.07001828,-0.025013268
318,-0.0060939454,-0.013462707,0.047525175,0.009595752,-0.22936425,0.014171302
319,0.07279647,0.019218482,0.10041434,0.010172486,0.17085272,0.29229653
320,-0.052605987,0.004131317,-0.04556036,0.027564585,-0.009260237,0.034850895
321,-0.048155367,0.008417666,0.05104369,0.13679391,0.0030219853,0.00047326088
322,0.08396512,0.010288611,-0.044252798,0.20228638,-0.061980546,0.07242471
323,-0.027096614,0.0026149154,0.0629978,-0.013939202,-0.12732947,-0.0948419
324,0.019771103,0.037173465,0.046643898,0.08770545,-0.1293473,0.070729494
325,0.0011048838,0.012651797,0.046241373,0.073646165,0.078060344,0.006245911
326,0.004085606,-0.008222498,-0.0031068027,-0.018873058,0.11024204,-0.036225915
327,-0.031022176,-0.06777061,-0.076476544,-0.053558066,-0.06356378,-0.035918236
328,-0.038145423,0.03726867,-0.027057588,0.041482717,-0.026976883,0.056228638
329,0.029393896,-0.05553606,-0.07229328,-0.008448273,-0.033511043,0.028491676
330,0.07561363,-0.0050130635,-0.011587232,0.004239604,0.039460912,0.040295452
331,0.036982268,0.038933814,0.059458762,0.09113157,-0.0061888993,0.043593645
332,0.019567072,-0.04923357,0.022132158,-0.16435516,0.032347515,-0.288328
333,-0.0033454336,-0.0047753192,0.02446822,-0.02820462,0.018084124,0.018714368
334,0.02295681,0.0059683323,0.010310382,0.07044202,0.06608407,0.14440158
335,-0.037973,-0.010432392,-0.037243664,0.04607919,0.06846449,0.033523798
